Labels	EY2_2 lifetime	
Type	Time Scan	
Comment		
Start	0.00	
Stop	7.992E007	
Step	8E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

6.664E007	3.011E+3	
6.672E007	2.938E+3	
6.68E07	2.863E+3	
6.688E007	2.926E+3	
6.696E007	2.979E+3	
6.704E007	2.867E+3	
6.712E007	2.835E+3	
6.72E07	2.967E+3	
6.728E007	2.896E+3	
6.736E007	2.947E+3	
6.744E007	3.003E+3	
6.752E007	2.966E+3	
6.76E07	2.853E+3	
6.768E007	3.009E+3	
6.776E007	2.931E+3	
6.784E007	2.774E+3	
6.792E007	2.921E+3	
6.8E07	2.793E+3	
6.808E007	2.976E+3	
6.816E007	2.916E+3	
6.824E007	2.899E+3	
6.832E007	2.913E+3	
6.84E07	2.970E+3	
6.848E007	3.063E+3	
6.856E007	3.024E+3	
6.864E007	2.923E+3	
6.872E007	2.932E+3	
6.88E07	2.905E+3	
6.888E007	2.922E+3	
6.896E007	2.833E+3	
6.904E007	3.018E+3	
6.912E007	2.973E+3	
6.92E07	2.850E+3	
6.928E007	2.846E+3	
6.936E007	2.882E+3	
6.944E007	2.872E+3	
6.952E007	2.918E+3	
6.96E07	2.907E+3	
6.968E007	2.939E+3	
6.976E007	2.918E+3	
6.984E007	2.923E+3	
6.992E007	2.937E+3	
7E07	2.930E+3	
7.008E007	2.931E+3	
7.016E007	2.994E+3	
7.024E007	2.897E+3	
7.032E007	2.978E+3	
7.04E07	2.934E+3	
7.048E007	2.950E+3	
7.056E007	2.977E+3	
7.064E007	2.839E+3	
7.072E007	2.870E+3	
7.08E07	2.886E+3	
7.088E007	2.910E+3	
7.096E007	2.911E+3	
7.104E007	2.918E+3	
7.112E007	2.936E+3	
7.12E07	2.989E+3	
7.128E007	3.012E+3	
7.136E007	2.918E+3	
7.144E007	2.992E+3	
7.152E007	2.910E+3	
7.16E07	2.933E+3	
7.168E007	2.927E+3	
7.176E007	2.915E+3	
7.184E007	2.959E+3	
7.192E007	2.791E+3	
7.2E07	2.951E+3	
7.208E007	2.916E+3	
7.216E007	3.039E+3	
7.224E007	2.904E+3	
7.232E007	2.943E+3	
7.24E07	2.960E+3	
7.248E007	2.864E+3	
7.256E007	2.934E+3	
7.264E007	2.864E+3	
7.272E007	2.906E+3	
7.28E07	2.969E+3	
7.288E007	2.877E+3	
7.296E007	2.973E+3	
7.304E007	2.944E+3	
7.312E007	2.907E+3	
7.32E07	2.868E+3	
7.328E007	2.956E+3	
7.336E007	2.888E+3	
7.344E007	2.834E+3	
7.352E007	2.913E+3	
7.36E07	3.025E+3	
7.368E007	2.853E+3	
7.376E007	2.889E+3	
7.384E007	2.959E+3	
7.392E007	2.976E+3	
7.4E07	2.948E+3	
7.408E007	2.863E+3	
7.416E007	2.919E+3	
7.424E007	2.867E+3	
7.432E007	2.925E+3	
7.44E07	2.872E+3	
7.448E007	2.897E+3	
7.456E007	2.903E+3	
7.464E007	2.905E+3	
7.472E007	2.923E+3	
7.48E07	2.917E+3	
7.488E007	2.879E+3	
7.496E007	2.937E+3	
7.504E007	2.867E+3	
7.512E007	2.952E+3	
7.52E07	2.907E+3	
7.528E007	2.901E+3	
7.536E007	2.893E+3	
7.544E007	2.924E+3	
7.552E007	2.937E+3	
7.56E07	2.789E+3	
7.568E007	3.001E+3	
7.576E007	2.844E+3	
7.584E007	2.931E+3	
7.592E007	2.848E+3	
7.6E07	2.927E+3	
7.608E007	2.945E+3	
7.616E007	2.948E+3	
7.624E007	2.978E+3	
7.632E007	2.803E+3	
7.64E07	2.892E+3	
7.648E007	2.892E+3	
7.656E007	2.952E+3	
7.664E007	2.807E+3	
7.672E007	2.882E+3	
7.68E07	3.004E+3	
7.688E007	2.927E+3	
7.696E007	2.847E+3	
